"","YEAR","FREQ_YEAR","CODE_DESC_SHORT","CODE_STANDARD_NAME","CODE","FREQ"
"1",2010,500,"PACKED CELL TRANSFUSION","ICD-9","99.04",201
"2",2010,500,"TRANSFUSION OF PACKED CELLS","ICD-9","99.04",201
"3",2010,500,"SERUM TRANSFUSION NEC","ICD-9","99.07",25
"4",2010,500,"TRANSFUSION OF OTHER SERUM","ICD-9","99.07",25
"5",2010,500,"PLATELET TRANSFUSION","ICD-9","99.05",20
"6",2010,500,"TRANSFUSION OF PLATELETS","ICD-9","99.05",20
"7",2010,500,"TRANSFUSION NEC","ICD-9","99.09",2
"8",2010,500,"TRANSFUSION OF OTHER SUBSTANCE","ICD-9","99.09",2
"9",2010,500,"COAG FACTOR TRANSFUSION","ICD-9","99.06",1
"10",2010,500,"PERIOP AUT TRANS HOL BLD","ICD-9","99.00",1
"11",2010,500,"PERIOPERATIVE AUTOLOGOUS TRANSFUSION OF WHOLE BLOOD OR BLOOD COMPONENTS","ICD-9","99.00",1
"12",2010,500,"TRANSFUSION OF COAGULATION FACTORS","ICD-9","99.06",1
"13",2011,600,"PACKED CELL TRANSFUSION","ICD-9","99.04",237
"14",2011,600,"TRANSFUSION OF PACKED CELLS","ICD-9","99.04",237
"15",2011,600,"PLATELET TRANSFUSION","ICD-9","99.05",32
"16",2011,600,"TRANSFUSION OF PLATELETS","ICD-9","99.05",32
"17",2011,600,"SERUM TRANSFUSION NEC","ICD-9","99.07",24
"18",2011,600,"TRANSFUSION OF OTHER SERUM","ICD-9","99.07",24
"19",2011,600,"PERIOP AUT TRANS HOL BLD","ICD-9","99.00",4
"20",2011,600,"PERIOPERATIVE AUTOLOGOUS TRANSFUSION OF WHOLE BLOOD OR BLOOD COMPONENTS","ICD-9","99.00",4
"21",2011,600,"ENDOSCOPIC CONTROL OF GASTRIC OR DUODENAL BLEEDING","ICD-9","44.43",2
"22",2011,600,"TRANSFUS PREV AUTO BLOOD","ICD-9","99.02",1
"23",2011,600,"TRANSFUSION NEC","ICD-9","99.09",1
"24",2011,600,"TRANSFUSION OF OTHER SUBSTANCE","ICD-9","99.09",1
"25",2011,600,"TRANSFUSION OF PREVIOUSLY COLLECTED AUTOLOGOUS BLOOD","ICD-9","99.02",1
"26",2012,641,"PACKED CELL TRANSFUSION","ICD-9","99.04",251
"27",2012,641,"TRANSFUSION OF PACKED CELLS","ICD-9","99.04",251
"28",2012,641,"SERUM TRANSFUSION NEC","ICD-9","99.07",37
"29",2012,641,"TRANSFUSION OF OTHER SERUM","ICD-9","99.07",37
"30",2012,641,"PLATELET TRANSFUSION","ICD-9","99.05",29
"31",2012,641,"TRANSFUSION OF PLATELETS","ICD-9","99.05",29
"32",2012,641,"PERIOP AUT TRANS HOL BLD","ICD-9","99.00",2
"33",2012,641,"PERIOPERATIVE AUTOLOGOUS TRANSFUSION OF WHOLE BLOOD OR BLOOD COMPONENTS","ICD-9","99.00",2
"34",2012,641,"EXCHANGE TRANSFUSION","ICD-9","99.01",1
"35",2012,641,"TRANSFUS PREV AUTO BLOOD","ICD-9","99.02",1
"36",2012,641,"TRANSFUSION OF PREVIOUSLY COLLECTED AUTOLOGOUS BLOOD","ICD-9","99.02",1
"37",2013,649,"PACKED CELL TRANSFUSION","ICD-9","99.04",258
"38",2013,649,"TRANSFUSION OF PACKED CELLS","ICD-9","99.04",258
"39",2013,649,"SERUM TRANSFUSION NEC","ICD-9","99.07",39
"40",2013,649,"TRANSFUSION OF OTHER SERUM","ICD-9","99.07",39
"41",2013,649,"PLATELET TRANSFUSION","ICD-9","99.05",17
"42",2013,649,"TRANSFUSION OF PLATELETS","ICD-9","99.05",17
"43",2013,649,"TRANSFUSION NEC","ICD-9","99.09",5
"44",2013,649,"TRANSFUSION OF OTHER SUBSTANCE","ICD-9","99.09",5
