"","YEAR","FREQ_YEAR","CODE_DESC_SHORT","CODE_STANDARD_NAME","CODE","FREQ"
"1",2006,10,"HEM EARLY PREG-ANTEPART","ICD-9","640.93",5
"2",2006,10,"PLACENTA PREVIA-ANTEPART","ICD-9","641.03",2
"3",2006,10,"POSTPART HEM NEC-POSTPAR","ICD-9","666.14",2
"4",2006,10,"ABORT NOS W HEMORR-UNSP","ICD-9","637.10",1
"5",2007,7,"PLACENTA PREVIA-UNSPEC","ICD-9","641.00",5
"6",2007,7,"POSTPARTUM HEM NEC-UNSP","ICD-9","666.10",1
"7",2007,7,"RETAIN PROD CONCEPT-UNSP","ICD-9","667.10",1
"8",2008,6,"PLACENTA PREVIA-ANTEPART","ICD-9","641.03",3
"9",2008,6,"HEM EARLY PREG-ANTEPART","ICD-9","640.93",2
"10",2008,6,"DELAY P/PART HEM-POSTPAR","ICD-9","666.24",1
"11",2009,399,"PLACENTA PREVIA-ANTEPART","ICD-9","641.03",110
"12",2009,399,"HEM EARLY PREG-ANTEPART","ICD-9","640.93",84
"13",2009,399,"PLACENTA PREVIA-UNSPEC","ICD-9","641.00",80
"14",2009,399,"PLACENTA PREV HEM-UNSPEC","ICD-9","641.10",40
"15",2009,399,"HEMORR EARLY PREG-UNSPEC","ICD-9","640.90",23
"16",2009,399,"ANTEPART HEM NOS-ANTEPAR","ICD-9","641.93",19
"17",2009,399,"COAG DEF HEMORR-ANTEPART","ICD-9","641.33",14
"18",2009,399,"ANTEPART HEM NOS-UNSPEC","ICD-9","641.90",9
"19",2009,399,"ANTEPART HEM NEC-UNSPEC","ICD-9","641.80",4
"20",2009,399,"DELAY P/PART HEM-UNSPEC","ICD-9","666.20",4
"21",2009,399,"POSTPARTUM HEM NEC-UNSP","ICD-9","666.10",4
"22",2009,399,"PLACEN PREV HEM-ANTEPART","ICD-9","641.13",3
"23",2009,399,"LEGAL ABOR W HEMORR-UNSP","ICD-9","635.10",2
"24",2009,399,"RETAIN PROD CONCEPT-UNSP","ICD-9","667.10",2
"25",2009,399,"POSTABORTION HEMORRHAGE","ICD-9","639.1",1
"26",2010,2759,"PLACENTA PREVIA-ANTEPART","ICD-9","641.03",482
"27",2010,2759,"HEM EARLY PREG-ANTEPART","ICD-9","640.93",449
